-0.83390;-0.48873;16.906
-0.85320;-0.48867;8.4049
-0.87250;-0.48862;0.0000
-0.84327;-0.50561;8.4050
-0.86275;-0.50564;0.0000
-0.85264;-0.52250;0.0000
-0.81406;-0.52110;16.907
-0.83335;-0.52180;8.4055
-0.82276;-0.53833;8.4055
-0.84223;-0.53912;0.0000
-0.83147;-0.55557;0.0000
-0.79296;-0.55267;16.908
-0.81222;-0.55412;8.4059
-0.80099;-0.57023;8.4059
-0.82041;-0.57177;0.0000
-0.80902;-0.58778;0.0000
-0.66988;-0.69677;16.911
-0.68849;-0.70194;8.4077
-0.70711;-0.70711;0.0000
-0.67434;-0.71554;8.4075
-0.69309;-0.72085;0.0000
-0.67880;-0.73432;0.0000
-0.77064;-0.58339;16.908
-0.78983;-0.58559;8.4062
-0.77798;-0.60124;8.4060
-0.79733;-0.60355;0.0000
-0.78532;-0.61909;0.0000
-0.69670;-0.66995;16.910
-0.71551;-0.67437;8.4072
-0.73432;-0.67880;0.0000
-0.70191;-0.68853;8.4069
-0.72086;-0.69309;0.0000
-0.72247;-0.64208;16.910
-0.74144;-0.64576;8.4068
-0.76041;-0.64945;0.0000
-0.72840;-0.66044;8.4065
-0.74751;-0.66425;0.0000
-0.74713;-0.61321;16.909
-0.76622;-0.61615;8.4064
-0.75377;-0.63133;8.4062
-0.77302;-0.63439;0.0000
-0.85244;-0.45561;16.905
-0.87173;-0.45480;8.4043
-0.89101;-0.45399;0.0000
-0.86247;-0.47212;8.4044
-0.88193;-0.47137;0.0000
-0.86967;-0.42180;16.904
-0.88891;-0.42023;8.4039
-0.90814;-0.41866;0.0000
-0.88034;-0.43790;8.4039
-0.89976;-0.43638;0.0000
-0.92493;-0.28063;16.906
-0.94369;-0.27603;8.4052
-0.96246;-0.27144;0.0000
-0.93799;-0.29482;8.4049
-0.95695;-0.29024;0.0000
-0.95106;-0.30902;0.0000
-0.88555;-0.38735;16.903
-0.90472;-0.38502;8.4035
-0.92388;-0.38268;0.0000
-0.89685;-0.40301;8.4035
-0.91620;-0.40072;0.0000
-0.90007;-0.35231;16.903
-0.91913;-0.34921;8.4035
-0.93819;-0.34612;0.0000
-0.91198;-0.36750;8.4033
-0.93123;-0.36443;0.0000
-0.91320;-0.31671;16.904
-0.93213;-0.31287;8.4041
-0.92570;-0.33142;8.4038
-0.94482;-0.32759;0.0000
-0.64203;-0.72250;16.913
-0.66041;-0.72841;8.4083
-0.64574;-0.74145;8.4083
-0.66425;-0.74751;0.0000
-0.64945;-0.76041;0.0000
-0.61319;-0.74713;16.915
-0.63132;-0.75377;8.4092
-0.61614;-0.76622;8.4093
-0.63439;-0.77302;0.0000
-0.61909;-0.78532;0.0000
-0.93522;-0.24410;16.910
-0.95380;-0.23877;8.4069
-0.97237;-0.23345;0.0000
-0.94884;-0.25777;8.4065
-0.96761;-0.25244;0.0000
-0.94407;-0.20721;16.914
-0.96243;-0.20115;8.4091
-0.98079;-0.19509;0.0000
-0.95822;-0.22033;8.4087
-0.97678;-0.21425;0.0000
-0.95147;-0.16999;16.920
-0.96958;-0.16321;8.4120
-0.98769;-0.15643;0.0000
-0.96613;-0.18254;8.4116
-0.98444;-0.17574;0.0000
-0.95739;-0.13252;16.926
-0.97523;-0.12503;8.4149
-0.99307;-0.11754;0.0000
-0.97254;-0.14448;8.4144
-0.99058;-0.13695;0.0000
-0.58341;-0.77060;16.918
-0.60125;-0.77796;8.4107
-0.58560;-0.78981;8.4110
-0.60355;-0.79733;0.0000
-0.58779;-0.80902;0.0000
-0.42182;-0.86965;16.909
-0.43791;-0.88033;8.4064
-0.45399;-0.89101;0.0000
-0.42024;-0.88890;8.4065
-0.43638;-0.89976;0.0000
-0.41866;-0.90814;0.0000
-0.55271;-0.79290;16.922
-0.57025;-0.80096;8.4124
-0.55414;-0.81219;8.4128
-0.57177;-0.82041;0.0000
-0.55557;-0.83147;0.0000
-0.45565;-0.85240;16.916
-0.47213;-0.86245;8.4098
-0.48862;-0.87250;0.0000
-0.45482;-0.87170;8.4099
-0.47137;-0.88193;0.0000
-0.52114;-0.81399;16.923
-0.53836;-0.82273;8.4133
-0.52182;-0.83332;8.4136
-0.53912;-0.84223;0.0000
-0.52250;-0.85264;0.0000
-0.48877;-0.83384;16.921
-0.50564;-0.84324;8.4124
